,Test F1 scores text field,,,,,
Models,hazard-category,product-category,hazard,product,ST1,St2
Bert baseline,0.747,0.757,0.581,0.170,0.753,0.382
Bert CW,0.760,0.761,0.671,0.280,0.762,0.491
Bert SR,0.770,0.754,0.666,0.275,0.764,0.478
Bert RW,0.752,0.757,0.651,0.275,0.756,0.467
DistilBert baseline,0.761,0.757,0.593,0.154,0.760,0.378
DistilBert CW,0.766,0.753,0.635,0.246,0.763,0.449
DistilBert SR,0.756,0.759,0.644,0.240,0.763,0.448
DistilBert RW,0.749,0.747,0.647,0.261,0.753,0.462
RoBerta baseline,0.760,0.753,0.579,0.123,0.755,0.356
RoBerta CW,0.773,0.739,0.630,0.000,0.760,0.315
RoBerta SR,0.777,0.755,0.637,0.000,0.767,0.319
RoBerta RW,0.757,0.611,0.615,0.000,0.686,0.308
ModernBert baseline,0.781,0.745,0.667,0.275,0.769,0.485
ModernBert CW,0.761,0.712,0.609,0.252,0.741,0.441
ModernBert SR,0.790,0.728,0.591,0.253,0.761,0.434
ModernBert RW,0.761,0.751,0.629,0.237,0.759,0.440
SVM baseline,0.701,0.626,0.544,0.234,0.682,0.396
SVM CW,0.655,0.642,0.519,0.256,0.649,0.396
SVM SR,0.707,0.674,0.511,0.234,0.693,0.379
SVM RW,0.687,0.643,0.542,0.246,0.682,0.401
LR baseline,0.666,0.665,0.511,0.203,0.680,0.368
LR CW,0.713,0.682,0.457,0.209,0.702,0.347
LR SR,0.698,0.677,0.454,0.233,0.691,0.354
LR RW,0.666,0.676,0.522,0.216,0.673,0.380
DT baseline,0.542,0.445,0.405,0.012,0.484,0.208
DT CW,0.617,0.491,0.427,0.029,0.544,0.230
DT SR,0.576,0.488,0.464,0.037,0.526,0.252
DT RW,0.612,0.475,0.506,0.056,0.542,0.283
RF baseline,0.691,0.523,0.499,0.129,0.609,0.318
RF CW,0.708,0.597,0.566,0.169,0.642,0.380
RF SR,0.688,0.578,0.455,0.188,0.633,0.331
RF RW,0.698,0.546,0.567,0.202,0.612,0.397
KNN baseline,0.552,0.497,0.384,0.157,0.527,0.294
KNN CW,0.565,0.490,0.376,0.169,0.534,0.309
KNN SR,0.552,0.507,0.389,0.163,0.537,0.305
KNN RW,0.500,0.491,0.397,0.152,0.515,0.299
NB baseline,0.553,0.570,0.306,0.064,0.568,0.203
NB CW,0.599,0.586,0.405,0.175,0.603,0.310
NB SR,0.588,0.574,0.444,0.140,0.589,0.314
NB RW,0.603,0.617,0.383,0.167,0.631,0.300
